Clean_text,Label
suntik vaksin emang sakit kalau nggak proses suntik sakit,Positif
ciptain lagu kakak maiayg judul nya vaksin tidaksaya model vaksin nya kalau begitu,Negatif
sjw anti vaksin percaya madu,Negatif
ibu vaksin palsu sibuk kena prank kamu fahrenheit kamu fahrenheit kamu fahrenheit,Negatif
ahli politik utama vaksin covid pakar,Negatif
sehoax vaksin palsu,Negatif
pesan datang duluan vaksin kamu fahrenheit,Positif
didaftarin suntik vaksin covid bagaimana gitu kamu fahrenheit,Positif
anti vaksin ini lahir lahir otak kat,Positif
vakzin untuk sembuh untuk cegah jangan salah faham takat tahu ubat yang bunuh virus covid serang tubuh manusia vaksin untuk mers belum temu,Positif
msia deh order ke dose vaksin covid dana reboisasi pfizer elok lah syorkan test vaksin sebelum kepada rakyat,Positif
weh anti vaksin tah video sebar kat ws parents almost percaya omggggg gila,Negatif
akibat doyan nenggak vaksin palsu kok,Negatif
mesti kasih ajar bu vaksin palsu biar nggak sombong,Positif
bahas perspektif hak asasi manusia bagaimana rilis versi organisasi massa versus versi silop nggak yang percaya tukang geruduk jago tembak sisi vaksin lolos tahap sudah mau encus juta orang menteri korupsi pemilihan kepala daerah jalan omnibus jalan fucked united press,Positif
alhamdulillah panen vaksin kamu fahrenheit di kamu fahrenheit kamu fahrenheit e kamu kamu fakultas ekonomi fahrenheit kamu fahrenheit,Positif
anti vaksin block sisa anggaran pembangunan iya,Positif
jual vaksin palsu emang,Positif
sudah vaksin,Positif
iya yang sedang apa ngurusi yang tidak vaksin,Negatif
vaksin ajah nempil vaksin covid hehehe,Positif
pesawat seperti vaksin dulu,Positif
banget madrasah ibtidaiah negeri saya open adopt karena yang rescue sistem informasi feedingnya mas pakai nasi nggak komitmen vaksin saya cm usahain sembuhin mata amore alhamdulillah lebih baik,Positif
nduwur iki antvax e merika nyaut ono obrol vaksin omegalul,Positif
covid pandemi cepat vaksin edar waras pikir hiv tuberculosis flu puluh puluh nggak vaksin covid umur jagung vaksin yah,Positif
harap vaksin covid selamat hiv tuberculosis flu puluh puluh dunia vaksin mudah vaksin covid tolak vaksin no vaccinne no masalah,Negatif
orang sibuk bahas sinovac sama fahrenheit i saya bahas drama korea nggak ikutin alas vaksin sinovac luar ahli mah terima saja fp sudah males harap nggak bahas kadang saya mantri kehutanan dan lurah dengan ulah,Positif
pemilihan kepala daerah vaksin covid lagi happening drakor start united press salah main mas dimple saking tabur gambar mas dimple trus jadi ngebayangi muka seperti iya kalau dimple nya,Positif
seronok antivaxx main isu mati orang akibat ambil vaksin covid habis putar isu baca tajuk sahaja baca lapor orang group placebo orang group terima vaksin tata usaha tinggal akibat sakit jantung vaksin,Positif
yuk lalai prokes vaksin,Positif
bahas zombie keinget vaksin,Negatif
kao datang vaksin hasil telek kao,Negatif
majelis umum dh keno kovit bakpo nok vaksin pehtu,Negatif
vaksin bayar rb gak iya kaya bansos republik indonesia republik inggris,Positif
orang kritisi perintah milih vaksin brand jawat jual vaksin modal fear mongering hippokrates geleng lihat laku you,Negatif
england sudah suntik vaksin rusia juga indonesia iya,Positif
lah takut sangat ngn vaksin haih ksi lah dengan orang cmni,Positif
tapi alhamdulillah lagi kalau gk vaksin kepala seksi saja yang butuh terus ribut vaksin,Positif
harap vaksin sedia ajar ipta iptk okt teruk kerja ganggu,Positif
suka gregetan teman kucing tuh ngurusinnya kayak memberikan aer kucing minum saja pakai aer keran sudah gitu makan murah nggak vaksin main bareng kucing liar harap saja kucing,Negatif
mikirini vaksin korupsi juga nggak iya,Positif
saya takut blunder perintah beli alat rapid tes beli vaksin kamu fahrenheit kamu fahrenheit,Positif
vaksin palsu orang hidup ktnya mati tolol tidak habis kamu ampere kamu ampere kamu ampere,Negatif
biadab yang jual vaksin palsu kamu fahrenheit kamu fahrenheit kamu fahrenheit kamu fahrenheit kamu fahrenheit kamu fahrenheit,Negatif
belum tahu vaksin endgame lolos trial aliansi masyarakat adat nusantara orang so institut teknologi surabaya best to not interpret the information biar gak stigma vaksin vaksin kamu fahrenheit,Positif
kalau vaksin korupsi mahhhhh sudah dehhhh maluuuu saya jadi warga indonesia pengengw tempelengin kepalanyaaaa nggak hapus hukuman mati banget kamu,Positif
ih samaaaa kamu kamu cpat depok spya dapat vaksin corongrong,Positif
tentang taknak amik vaksin ini korang kecik kecik amik vaksin,Positif
yang mati tata usaha sebagai berikut alergi vaksin dengar berita tadi kritikal sebagai berikut kesan alergi,Positif
betina yang mantri kehutanan dan lurah laknat sungguh tidak nurani otak akibat asupan vaksin palsu,Negatif
imitasi gelem vaksin dap,Negatif
hiayyyaaah kayak gitu mah dana reboisasi hapus hukuman mati paksa cuy pantes vaksin saja palsu gak pakai hapus hukuman mati kali iya,Positif
"saudara laki-laki thinking saja kali internasional association of poets, playwrights, editors, and novelists lihat jabat jadi kelinci coba efek vaksin ntu or gak kalau gak dead or jadi malpraktek dan lain-lain naif sistem informasi saya maksa think kamu fahrenheit sih sesuai tweet ernest seperti salah nggak percaya covid kamu fahrenheit fahrenheit",Negatif
maaf kalau missunderstanding kamu fahrenheit fahrenheit kamu fahrenheit fahrenheit kamu fahrenheit fahrenheit jangankan vaksin yang efek virus orang ntu macam kebal bawa virus carrier begitu bahaya juga orang yang antibodi lemah langsung kena infeksi isolasi dan lain-lain moga ibu kkuatan dan sehat terus ya,Positif
vaksin sinovac china efektifitas habis gin teriak tuhkan emang cina corona,Negatif
mekanisme bagaimana moga saya keluarga bagi vaksin,Positif
vaksin yang selebrasi musim mana liverpool masuk final liga champions,Positif
tuan keta nk habaq bayaq pkai duit kaunter vaksin lah tata usaha hahah,Positif
capai immuniti kelompok herd immunity sasar populasi naik imbang kesan vaksin vaccine efficacy kanak kanak wanita kandung immunocompromised vaksinasi,Positif
cuba keluar berita antivax peluang mati ambik vaksin confirm senyap,Positif
tuju vaksin gk,Negatif
lihat saja besok yang korupsi harga vaksin uganda,Negatif
jual vaksin palsu gk,Negatif
datengnya vaksin saya jalan gandeng gak,Positif
rijik tangan polisi vaksin pandemi ibukota mbangun papua bonus demografi ekonomi umkm didik intolerasi budaya hadeh rijik urus polisi saja iya,Positif
negara cerdas selesai covid vaksin,Positif
lihat iklan vaksin narasi video nampilan demo omnibus law mrk bilang garda garda depan masyarakat bikin angka rendah woi garda depan regulasi buat putus saja plin plan yang disalahin,Positif
iya fi tadi bekas hero deh desinfektan ini bulan belum vaksin,Positif
lihat move on hapus hukuman mati kasih vaksin yang asli,Positif
vaksin sudah palsu berita juga palsu hidup yang asli palsu,Negatif
tolong firalkan video jelas dampak bahaya orang suntik vaksin covid akibat ganas virus covid ujung akibat mati orang suntik vaksin,Positif
selamat nyawa rakyat indonesia perintah sebentar perintah rakyat indonesia ikut sunti masal vaksin covid,Positif
beli vaksin mbak,Positif
iya juga bingung x vaksin rabies vaksin wajib suka vaksin rabies gratis nder puskeswan murah,Positif
bayik minta peluk gendong melulu tata usaha negara manja banget kalau habis vaksin,Positif
eh deng yang ngobrol perkara vaksin hepatitis merk vaksin report buku suntik belah w bosan banget bawel pasien w lagi w gatau kalau masih bocah hahaha badan gede duwur pantesan bawel bertanya kamu fahrenheit,Positif
teu butuh vaksin butuhna duidddddd,Positif
cewek kalau pakai vaksin bagaimana,Positif
mas tentu badan pengawasan obat dan makanan nggak cepat lambat atur dokter diskriminasi layan sehat sesuai sumpah dokter percaya dasar beri vaksin,Positif
suntik vaksin kamu ye nggak,Positif
tebak harga vaksin mandiri open bid juta,Negatif
deh cek myeg jual vaksin hantar rumah road tax kakak nak cucuk pakai jarum peniti,Negatif
nomer cok pokona kalau pilih vaksin eundeu gratis masyarakat kbb,Positif
beli vaksin biar murah,Positif
fak depok vaksin vaksin titan kali iya,Negatif
tarik ini kandidat vaksin covid bas tanam kembang medicago canada anak usaha mitsubishi tanabe gsk philip morris dana teliti,Positif
udahlah lish kalau vaksin udh staycation bal saja renung kamu fahrenheit,Positif
sat fakta vaksin tata usaha nano chip awal fikiran tunggu je,Positif
biar vaksin laku x iya,Positif
vaksin ubat sembuh,Positif
mas nya kayk udh kbyakn mkan daging vaksin ini pikiranya balik kamu fahrenheit,Negatif
iy gk di kepala seksi juga gk apa kepala seksi saja sebelum masehi orang yang sebelum masehi pmrntah saja kalu bisa koruptor prioritas di kepala seksi tata usaha vaksin klau mah yang prioritas perut saja biar gk lapar gk obat klau perut lapar kamu fahrenheit di kamu fahrenheit di,Positif
kena uji lepas vaksin lepas tata usaha kawan sakit covid kebal vaksin jakarta raya mahu uji nak hero karut aje,Positif
menteri kait kontrak vaksin covid myeg harga pfizer masuk tidak,Negatif
saing pasar vaksin sifat emergensi universal kamu fahrenheit kamu di kamu kamu fakultas ekonomi fahrenheit,Positif
tuju vaksin jabat artis artis percaya banget vaksin tahun kalau gak efek memberikan gak percaya catet percaya covid,Positif
