id_name,text,location,Label
x1242096848401129473,"disuntik vaksin emang sakit, tapi kalo ga melalui proses suntik kamu bakal sakit.",Jakarta,Positif
x1217116132693311488,"@MAIAsangJUARA Ciptain lagu saja kakak MAIA

YG Judul Nya Di Vaksin Atau Tidak

Saya jadi model vaksin nya boleh atuh.",Indonesia,Negatif
x79182387,@seeksixsuck SJW anti vaksin. Mereka lebih percaya madu...,"DKI Jakarta, Indonesia",Negatif
x1095587722675159040,"@LisaAmartatara3 Mak vaksin palsu Sibuk sendiri ,,kena PRANK <U+0001F602><U+0001F602><U+0001F600>",,Negatif
x62182882,@501Awani Ahli2 politik perlu diberi keutamaan vaksin #COVID19 - Pakar,Jakarta,Negatif
x105014792,@LisaAmartatara3 Sehoax vaksin palsu,,Negatif
x7125302,"@officialJKT48 pesan sekarang,

datangnya duluan vaksin <U+0001F602>",,Positif
x221709394,Didaftarin untuk disuntik vaksin covid-19 rasanya gmn gitu <U+0001F631>,Bekasi,Positif
x234304243,yang anti vaksin ni lahir lahir otak kat mana,Bekasi,Positif
x95409642,"@manchaq @Fahmibinhassan Vakzin bukan utk menyembuh. Tetapi utk mencegah.

Jgn salah faham. 

Setakat hari ini, setahu saya belum ada ubat yg boleh membunuh virus covid ia sudah menyerang tubuh manusia.

Dan vaksin utk MERS masih blm ditemui.",,Positif
x95409642,"@theedgemalaysia Msia dah order 500k dose vaksin covid dr Pfizer ini.

Elok la kita syorkan supaya @Khairykj test dulu vaksin ini sblm diberi kpd rakyat.

@MyHEALTHKKM",,Positif
x425078544,weh anti-vaksin mana tah buat video sebar2 kat ws parents aku almost percaya omggggg gila,Bekasi,Negatif
x1294656329085095936,"@LisaAmartatara3 Itulah akibat doyan nenggak vaksin palsu..



Pekok!",,Negatif
x245005110,@DTanjung15 Mesti dikasih pelajaran bu vaksin palsu itu biar ga makin Songong,"DKI Jakarta, Indonesia",Positif
x207976046,"Mau bahas perspektif HAM gimana, rilis cuma ada versi ormas vs versi silop. Ga ada yg bisa dipercaya. Yang satu tukang geruduk, satu lagi jago tembak. Di sisi lain, vaksin belum lolos tahap 3 udah mo di encus berjuta orang. Menteri korup. Pilkada jalan. Omnibus jalan. Fucked up.",,Positif
x1288388397531148289,@mirroreye Alhamdulillah panen Vaksin <U+0001F60D><U+0001F525><U+0001F60E><U+2764><U+FE0F><U+0001F495>,Surabaya,Positif
x2224883616,Anti vaksin boleh block aku sesiap ya,Surabaya,Positif
x1112944563402887168,@LisaAmartatara3 @prabowo @Dahnilanzar Penjual vaksin palsu emang punya hari?,,Positif
x282349877,@rivanlee udah ada vaksin,,Positif
x4722419934,"@ernestprakasa @jokowi Ya pastilah yg terakhir...

Ngapain ngurusi yg tdk mau di vaksin....",,Negatif
x4722419934,@DTanjung15 Di vaksin ajah... nempil vaksin covid... hehehe,,Positif
x1244642468487786496,@Faraxsan76 Pesawat jadi kek di vaksin dlu,Sleman,Positif
x3174704522,"@catrescuedotid @dwifahmi Banget, Min! Kenapa sy open adopt? Krn yg rescue si kecil itu feedingnya masi pake nasi dan ga komitmen vaksin. Terakhir sy cm bisa usahain sembuhin matanya di Amore dan alhamdulillah sudah jauh mendingan",,Positif
x76652060,"@CobaltCate @isyannatungz Nduwur iki antvax e merika, selalu nyaut tiap ono obrolan vaksin, omegalul :))",-,Positif
x1326002454442336256,"apakah sebuah kebetulan ketika covid sebagai pandemi lalu dengan waktu yang sangat cepat banyak vaksin yang sudah siap edar? jika kita masih waras pikirkanlah hiv, tbc, flu sudah berpuluh puluh tahun kok ga ada vaksinnya? covid baru seumur jagung kok ada vaksinnya yah? kebetulan?",,Positif
x1326002454442336256,"jangan pernah berharap vaksin covid akan menyelamatkanmu! hiv, tbc, flu yang berpuluh puluh tahun ada di dunia sampai hari ini tidak ada vaksinnya! kenapa dengan mudah ada vaksin covid yang hanya dalam waktu 1 tahun saja? tolak vaksin! no vaccinne no problem!",,Negatif
x56970805,"Orang pada sibuk bahas Sinovac ama F*I, gue bahas drama korea. Bukan ga ikutin, alasannya karena:

1. Vaksin Sinovac diluar keahlian saya, saya mah terima aja nantinya.

2. FP*? Udah males, berharap malah ga usah dibahas. Kadang gue jadi malu dg ulah mereka ini.","Jakarta Capital Region, Indone",Positif
x71470629,"Selain pilkada dan vaksin covid 19, belakangan lg happening drakor Start Up dan salah satu pemainnya adalah Mas Dimple. Saking bertaburannya gambar Mas dimple trus aku jd ngebayangi mukaku jadi ky apa ya kl ada dimple nya?",indonesia,Positif
x177804792,"Seronok antivaxx mainkan isu kematian 6 orang akibat ambil vaksin #COVID19 . Habis diputarnya isu ini.



Mereka baca tajuk sahaja, tak baca laporan. 4 orang dari group placebo, 2 orang dari group yang terima vaksin.



Yang dua tu meninggal akibat sakit jantung. Bukan sebab vaksin.",,Positif
x1236013247779627009,"@KBinsa @TjahjantoHadi @Puspen_TNI @DivHumas_Polri @KemensetnegRI @_TNIAU @tni_ad @_TNIAL_ @BNPB_Indonesia @kemkominfo @setkabgoid Yuk jangan lalai prokes, walau vaksin sudah ada",,Positif
x882781077441363969,@soonyounrg Jangan bahas zombie dong jadi keinget vaksin..,Tangerang,Negatif
x65624604,Belum lagi kao datangkan vaksin yang belum jelas hasilnya. Telek kao,,Negatif
x1222453778,kalau mu dh keno kovit bakpo nok vaksin pehtu,,Negatif
x1286116385773334528,@CharlieCool2 @Catatan_ali7 @jokowi Di vaksin ini bayar 10rb gak ya kaya bansos RI ( Republik Inggris),"Tangerang, Banten",Positif
x33519037,"Di saat orangÂ² kritisi pemerintah kenapa milih vaksin brand tertentu, ini malah ada sejawat jualan vaksin itu bermodalkan fear-mongering. Hippokrates gelengÂ² liat kelakuan you pada..",,Negatif
x312049767,"England sdh suntik vaksin, rusia jg sudah. Indonesia kapan ya?",DKI Jakarta,Positif
x601706768,"Apa la takut sgt ngn vaksin, haih ksian la dgn orgÂ² cmni",Tangerang,Positif
x137943270,@ernestprakasa @jokowi Tp Alhamdulillah lg klo gk usah vaksin kasi aja yg butuh trs ribut2 soal vaksin,Indonesia,Positif
x3247784660,@khairul_hafidz Harap vaksin disediakan untuk pelajar IPTA dan IPTK Okt 2021. Teruk kerja terganggu.,"Durian Tunggal, Melaka",Positif
x96941515,"Suka gregetan sama temen yang punya kucing tapi tuh ngurusinnya setengah-setengah, kayak ngasih aer buat kucing minum aja pake aer keran udah gitu makannya yang murah, ga di vaksin tapi maen keluar bareng kucing liar tapi berharap baik-baik aja kucingnya",Jakarta Capital Region,Negatif
x280814251,"Jadi mikir

Ini vaksin di korupsi jg ga ya?",Tangerang,Positif
x74056367,"@ernestprakasa @jokowi Gua takut blunder pemerintah di pembelian alat rapid tes, terjadi juga di dalam pembelian vaksin <U+0001F605><U+0001F602>",,Positif
x1283445521797926912,@LisaAmartatara3 Vaksin palsu. Orangnya masih hidup ktnya mati. Tolol kok nggak habis2 <U+263A><U+263A><U+263A>,"Jawa Tengah, Indonesia",Negatif
x1283445521797926912,@LisaAmartatara3 Biadab lagi yg jual vaksin palsu <U+0001F602><U+0001F602><U+0001F602><U+0001F603><U+0001F603><U+0001F603>,"Jawa Tengah, Indonesia",Negatif
x1087220503389978629,@G_Raldz @aan__ kita blm tau mana vaksin yang jadi endgame dan lolos semua trial dan aman buat semua orang so its best to not interpret the information secara sepihak biar gak pada stigma dulu sama vaksin vaksinnya <U+0001F609>,,Positif
x70063485,"APALAGI KALO VAKSIN DI KORUP JUGA MAHHHHH. UDAH DEHHHH MALUUUU GW JD WARGA INDONESIA!! PENGENGW TEMPELENGIN KEPALANYAAAA, GA PUNYA HATI BGT LU!!!",Jawa Tengah,Positif
x1278691236707065857,"@Lzeniess IH SAMAAAA<U+3160><U+3160> cpat ke depok,spya dpt vaksin corongrong",Jawa Barat,Positif
x842405198815416320,"yang menentang sangat taknak amik vaksin ni, korang masa kecik kecik memang tak amik vaksin ke?",,Positif
